"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE915156344994";"WKA 2 p";"In Betrieb";"22.10.1996";"28.5.2019";"Wind";"600";"600";"04626";"Schmölln";"(natürliche Person)";"ABR900948800079";"15.3.2022"
"SEE989047608410";"Kirchheilingen 54";"In Betrieb";"21.2.2014";"22.5.2019";"Wind";"2300";"2300";"99947";"Kirchheilingen";"GSW Windmühle Kirchheilingen 54 GmbH & Co. KG";"ABR982187148938";"22.1.2025"
"SEE988251568954";"Windpark Mihla M2";"In Betrieb";"25.9.2015";"21.5.2019";"Wind";"3050";"3050";"99826";"Mihla";"Windpark Mihla GmbH & Co. KG";"ABR909861946246";"29.1.2024"
"SEE934137525726";"Windpark Mihla M3";"In Betrieb";"25.9.2015";"21.5.2019";"Wind";"3050";"3050";"99826";"Mihla";"Windpark Mihla GmbH & Co. KG";"ABR909861946246";"29.1.2024"
"SEE918474729313";"Windpark Mihla M4";"In Betrieb";"13.10.2015";"21.5.2019";"Wind";"3050";"3050";"99826";"Mihla";"Windpark Mihla GmbH & Co. KG";"ABR909861946246";"29.1.2024"
"SEE982823358103";"Windpark Mihla M6";"In Betrieb";"7.10.2015";"21.5.2019";"Wind";"3050";"3050";"99826";"Mihla";"Windpark Mihla GmbH & Co. KG";"ABR909861946246";"29.1.2024"
"SEE977553887559";"Windpark Mihla M7";"In Betrieb";"30.9.2016";"21.5.2019";"Wind";"3050";"3050";"99831";"Amt Creuzburg";"Windpark Mihla GmbH & Co. KG";"ABR909861946246";"16.9.2024"
"SEE943670127762";"Windpark Mihla M1";"In Betrieb";"25.9.2015";"20.5.2019";"Wind";"3050";"3050";"99826";"Mihla";"Windpark Mihla GmbH & Co. KG";"ABR909861946246";"29.1.2024"
"SEE991780377379";"WEA Forstwolfersdorf";"In Betrieb";"9.4.2003";"20.5.2019";"Wind";"1500";"1500";"07570";"Harth-Pöllnitz";"Rasmus GmbH";"ABR969525737825";"17.7.2023"
"SEE921650046029";"SW-REI9";"In Betrieb";"29.3.2017";"16.5.2019";"Wind";"3050";"3050";"06556";"Reinsdorf";"Sabowindpark Reinsdorf";"ABR908677474981";"18.12.2024"
"SEE946901947689";"WEA1 (Seriennummer 44469)";"In Betrieb";"7.8.2013";"13.5.2019";"Wind";"3075";"3075";"99880";"Teutleben";"LHI GII2 WP Teutleben 2286 GmbH & Co. KG";"ABR990054576692";"16.11.2024"
"SEE960636972440";"WEA2 (Seriennummer 44470)";"In Betrieb";"7.8.2013";"13.5.2019";"Wind";"3075";"3075";"99880";"Teutleben";"LHI GII2 WP Teutleben 2286 GmbH & Co. KG";"ABR990054576692";"16.11.2024"
