"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE959225557229";"BG 09";"In Betrieb";"9.8.2021";"26.8.2021";"Wind";"4200";"4200";"99955";"Blankenburg";"Windkraft Kirchheilingen VII GmbH & Co. KG";"ABR922990447545";"19.12.2024"
"SEE929873926937";"KH 59";"In Betrieb";"19.8.2021";"26.8.2021";"Wind";"4200";"4200";"99947";"Kirchheilingen";"Windkraft Kirchheilingen VII GmbH & Co. KG";"ABR922990447545";"19.12.2024"
"SEE948045222653";"AN Bonus 600 Nitzschka";"In Betrieb";"22.10.1996";"12.8.2021";"Wind";"600";"600";"04626";"Schmölln";"PR Windkraft GmbH";"ABR932681258701";"1.12.2022"
"SEE963568365953";"Rep 12";"In Planung";"";"19.7.2021";"Wind";"3450";"3450";"99518";"Schmiedehausen";"EDF power solutions Deutschland GmbH";"ABR949305957117";"16.1.2025"
"SEE968897184459";"CEE Windpark Ebenheim WEA 01";"In Betrieb";"8.6.2021";"28.6.2021";"Wind";"5500";"5500";"99869";"Ebenheim";"CEE Windpark Ebenheim GmbH & Co. KG";"ABR941620176310";"16.12.2024"
"SEE961077271321";"CEE Windpark Ebenheim WEA 02";"In Betrieb";"11.6.2021";"28.6.2021";"Wind";"5500";"5500";"99869";"Ebenheim";"CEE Windpark Ebenheim GmbH & Co. KG";"ABR941620176310";"16.12.2024"
"SEE972991010576";"SW-TAN13";"In Betrieb";"27.5.2021";"7.6.2021";"Wind";"3500";"3500";"07922";"Tanna";"Sabowindanlage Tanna";"ABR951342391984";"18.12.2024"
"SEE932364454703";"Windkraftanlage";"In Betrieb";"28.8.2014";"4.6.2021";"Wind";"2,5";"2,5";"99610";"Sömmerda";"(natürliche Person)";"ABR912381898568";"7.6.2023"
"SEE935719287933";"WKA 2200";"In Betrieb";"11.11.1996";"17.5.2021";"Wind";"600";"600";"98744";"Schwarzatal";"SALIX Oberweißbach GmbH";"ABR955693123591";"13.12.2024"
"SEE931356087813";"WKA Stobra";"In Betrieb";"11.1.1995";"12.5.2021";"Wind";"500";"500";"99518";"Bad Sulza";"(natürliche Person)";"ABR900673746697";"8.3.2022"
"SEE931249830748";"Windkraftanlagen";"In Betrieb";"17.1.2013";"12.5.2021";"Wind";"6,7";"6,7";"99996";"Unstruttal";"(natürliche Person)";"ABR996364331426";"10.12.2024"
"SEE937519661029";"Windkraft Mühlhäuser Straße 1b";"In Betrieb";"19.11.2013";"11.5.2021";"Wind";"15";"15";"99976";"Rodeberg";"(natürliche Person)";"ABR990627450473";"23.1.2023"
"SEE974014997895";". ABR946908377656";"In Betrieb";"1.7.2016";"19.4.2021";"Wind";"9,5";"9,5";"07907";"Tegau";"(natürliche Person)";"ABR907755002016";"2.5.2023"
"SEE992055259550";"WINDRAD";"In Betrieb";"17.1.2017";"5.4.2021";"Wind";"5";"5";"99834";"Gerstungen";"(natürliche Person)";"ABR910647471012";"12.7.2022"
"SEE932471928456";"CEE Windpark Töttleben WEA 1";"In Betrieb";"30.3.2021";"31.3.2021";"Wind";"5500";"5500";"99098";"Erfurt";"CEE Windpark Töttleben GmbH & Co. KG";"ABR926165903591";"12.12.2024"
"SEE993553527424";"Windrad KWEA FD6.0-5KW";"In Betrieb";"23.3.2015";"20.3.2021";"Wind";"5";"5";"07806";"Neustadt";"(natürliche Person)";"ABR944540748322";"27.2.2024"
"SEE926325438734";"Windkraftanlage";"In Betrieb";"1.5.2016";"19.3.2021";"Wind";"1,2";"1,2";"99897";"Tambach-Dietharz";"Kinderhospiz Mitteldeutschland gGmbH";"ABR937756232785";"19.3.2021"
"SEE994674670099";"Schröder/Alma";"Endgültig stillgelegt";"26.10.2016";"10.3.2021";"Wind";"0,6";"0,6";"07318";"Saalfeld";"(natürliche Person)";"";"22.5.2024"
"SEE964350600108";"HL17";"In Betrieb";"11.2.2021";"6.3.2021";"Wind";"4200";"4200";"99955";"Herbsleben";"Windkraft Herbsleben VII GmbH & Co. KG";"ABR907830704712";"5.5.2026"
"SEE980134918900";"HL19";"In Betrieb";"11.2.2021";"6.3.2021";"Wind";"4200";"4200";"99955";"Herbsleben";"Windkraft Herbsleben VII GmbH & Co. KG";"ABR907830704712";"5.5.2026"
"SEE962689083418";"Windrad";"In Betrieb";"22.8.2012";"5.2.2021";"Wind";"4,6";"4,6";"99976";"Rodeberg";"Lackiererei Menge GmbH & Co.KG";"ABR939635844270";"5.2.2021"
"SEE981831632014";"WINA.G";"In Betrieb";"23.10.1997";"1.2.2021";"Wind";"500";"500";"99837";"Werra-Suhl-Tal";"WINAG.G Windkraftanlagen GmbH";"ABR972693168988";"8.1.2026"
"SEE907487811597";"WH 07";"In Betrieb";"22.12.1999";"31.1.2021";"Wind";"1500";"1500";"99869";"Nessetal";"BOREAS Energie GmbH";"ABR909054335185";"26.9.2022"
"SEE910965713122";"WH 02";"In Betrieb";"17.12.1999";"31.1.2021";"Wind";"1500";"1500";"99869";"Nessetal";"BOREAS Energie GmbH";"ABR909054335185";"21.10.2022"
"SEE940963170559";"TL 01";"In Betrieb";"21.1.2005";"31.1.2021";"Wind";"2000";"2000";"99947";"Kirchheilingen";"(natürliche Person)";"ABR942646020458";"31.8.2021"
"SEE970567990857";"ADIB";"In Betrieb";"25.9.2001";"29.1.2021";"Wind";"1500";"1500";"99947";"Bad Langensalza";"ALG Aschara Landwirtschaftsgesellschaft mbH";"ABR919922805221";"14.8.2023"
"SEE933160822017";"NK01";"Endgültig stillgelegt";"16.3.2000";"29.1.2021";"Wind";"1300";"1300";"99817";"Eisenach";"(natürliche Person)";"";"17.12.2024"
"SEE976909743709";"NK07";"Endgültig stillgelegt";"28.2.2000";"29.1.2021";"Wind";"1300";"1300";"99817";"Eisenach";"BOREAS Energie GmbH";"ABR909054335185";"1.9.2025"
"SEE940993279352";"NK09";"In Betrieb";"27.12.2002";"29.1.2021";"Wind";"1500";"1500";"99817";"Eisenach";"BOREAS Energie GmbH";"ABR909054335185";"18.6.2026"
"SEE997911419550";"Fu 01 Her";"In Betrieb";"29.10.1996";"29.1.2021";"Wind";"98";"98";"07629";"Hermsdorf";"Hermsdorf - Wind GbR";"ABR971806075496";"13.5.2026"
"SEE985649808760";"Windmühle 1";"In Betrieb";"7.10.1997";"28.1.2021";"Wind";"600";"600";"04618";"Göpfersdorf";"(natürliche Person)";"ABR939622411355";"12.4.2021"
"SEE959927519365";"Sünna V44 -nr.2558";"In Betrieb";"9.4.1998";"28.1.2021";"Wind";"600";"600";"36414";"Unterbreizbach";"ENOVA Windpark Sünna GmbH & Co. KG";"ABR980779067964";"21.7.2025"
"SEE910585280592";"Windmühle WKA";"In Betrieb";"1.10.1997";"28.1.2021";"Wind";"600";"600";"04618";"Göpfersdorf";"WKA Göpfersdorf Fritzsche GbR";"ABR979831840294";"11.11.2021"
"SEE901128245055";"Sünna V44 -nr.2559";"In Betrieb";"9.4.1998";"28.1.2021";"Wind";"600";"600";"36404";"Sünna";"ENOVA Windpark Sünna GmbH & Co. KG";"ABR980779067964";"25.2.2022"
"SEE963625807501";"Sünna V44 -nr.2560";"In Betrieb";"9.4.1998";"28.1.2021";"Wind";"600";"600";"36404";"Sünna";"ENOVA Windpark Sünna GmbH & Co. KG";"ABR980779067964";"25.2.2022"
"SEE942019830394";"Sünna V47 -nr.1626";"In Betrieb";"27.1.2000";"28.1.2021";"Wind";"660";"660";"36404";"Sünna";"ENOVA Windpark Sünna GmbH & Co. KG";"ABR980779067964";"25.2.2022"
"SEE966789155464";"Sünna V47 -nr.1627";"In Betrieb";"27.1.2000";"28.1.2021";"Wind";"660";"660";"36404";"Sünna";"ENOVA Windpark Sünna GmbH & Co. KG";"ABR980779067964";"25.2.2022"
"SEE918488579423";"AU01";"In Betrieb";"28.12.1995";"28.1.2021";"Wind";"500";"500";"07955";"Auma-Weidatal";"BOREAS Energie GmbH";"ABR909054335185";"15.9.2021"
"SEE936841461949";"GL02";"Endgültig stillgelegt";"27.6.2002";"28.1.2021";"Wind";"1500";"1500";"99634";"Gangloffsömmern";"(natürliche Person)";"";"7.7.2025"
"SEE966749654655";"KH05";"In Betrieb";"20.10.1999";"28.1.2021";"Wind";"1300";"1300";"99947";"Kirchheilingen";"BOREAS Energie GmbH";"ABR909054335185";"15.9.2021"
"SEE927065898314";"KH12";"Endgültig stillgelegt";"28.12.2000";"28.1.2021";"Wind";"1500";"1500";"99947";"Kirchheilingen";"(natürliche Person)";"";"19.1.2023"
"SEE973423445683";"Windkraft in Bürgerhand";"Endgültig stillgelegt";"1.12.1997";"26.1.2021";"Wind";"500";"500";"07955";"Auma-Weidatal";"(natürliche Person)";"";"27.2.2023"
"SEE936525704881";"NK-B-3-F";"In Betrieb";"2.4.1998";"26.1.2021";"Wind";"500";"500";"99817";"Eisenach";"BOREAS Energie GmbH";"ABR909054335185";"2.3.2023"
"SEE953018580913";"NK-B-4-F";"In Betrieb";"30.3.1998";"26.1.2021";"Wind";"500";"500";"99817";"Eisenach";"BOREAS Energie GmbH";"ABR909054335185";"18.6.2026"
"SEE912814297692";"NK-B-5-F";"Endgültig stillgelegt";"30.3.1998";"26.1.2021";"Wind";"500";"500";"99817";"Eisenach";"BOREAS Energie GmbH";"ABR909054335185";"18.8.2026"
"SEE958995770425";"NK-B-6-F";"In Betrieb";"31.3.1998";"26.1.2021";"Wind";"500";"500";"99817";"Eisenach";"BOREAS Energie GmbH";"ABR909054335185";"2.3.2023"
"SEE920949860247";"NK-B-2-F";"Endgültig stillgelegt";"7.4.1998";"26.1.2021";"Wind";"500";"500";"99817";"Eisenach";"(natürliche Person)";"";"1.12.2022"
"SEE997718021093";"AU 02";"In Betrieb";"31.12.1995";"26.1.2021";"Wind";"500";"500";"07955";"Auma-Weidatal";"BOREAS Energie GmbH";"ABR909054335185";"15.9.2021"
"SEE962609347088";"WKA Hartha";"In Betrieb";"6.2.1996";"26.1.2021";"Wind";"600";"600";"04626";"Schmölln";"BWW Gesellschaft für umweltschonende Energie mbH";"ABR922428949887";"10.7.2024"
"SEE901254459012";"HR01";"Endgültig stillgelegt";"11.8.2000";"25.1.2021";"Wind";"600";"600";"99817";"Eisenach";"(natürliche Person)";"";"6.10.2025"
"SEE946196572382";"HR03";"Endgültig stillgelegt";"22.4.2002";"25.1.2021";"Wind";"600";"600";"99817";"Eisenach";"(natürliche Person)";"";"6.10.2025"
"SEE981217701488";"AU 04";"Endgültig stillgelegt";"18.6.1998";"23.1.2021";"Wind";"1500";"1500";"07955";"Auma-Weidatal";"(natürliche Person)";"";"5.3.2025"
"SEE960405864303";"NK-B-1-F";"In Betrieb";"3.4.1998";"23.1.2021";"Wind";"500";"500";"99817";"Eisenach";"BOREAS Energie GmbH";"ABR909054335185";"2.3.2023"
"SEE933212650551";"E53 531489";"In Betrieb";"12.9.2013";"22.1.2021";"Wind";"800";"800";"99518";"Bad Sulza";"mhw gmbh & Co. KG";"ABR995110989911";"9.2.2026"
"SEE984799089173";"E82 825366";"In Betrieb";"12.9.2013";"22.1.2021";"Wind";"2300";"2300";"99518";"Bad Sulza";"mcu energy systems gmbh & Co. KG";"ABR926051395974";"19.10.2023"
"SEE916178592721";"E82 825365";"In Betrieb";"12.9.2013";"22.1.2021";"Wind";"2300";"2300";"99518";"Bad Sulza";"mcu energy systems gmbh & Co. KG";"ABR926051395974";"19.10.2023"
"SEE962868123638";"E82 825817";"In Betrieb";"7.7.2014";"22.1.2021";"Wind";"2300";"2300";"99518";"Bad Sulza";"jhu energy systems gmbh & Co KG";"ABR944396715813";"19.10.2023"
"SEE909728309658";"E82 825815";"In Betrieb";"7.7.2014";"22.1.2021";"Wind";"2300";"2300";"99518";"Bad Sulza";"jhu energy systems gmbh & Co KG";"ABR944396715813";"19.10.2023"
"SEE965734568694";"E82 825816";"In Betrieb";"7.7.2014";"22.1.2021";"Wind";"2300";"2300";"99518";"Bad Sulza";"jhu energy systems gmbh & Co KG";"ABR944396715813";"19.10.2023"
"SEE929094746918";"ADM03";"In Betrieb";"18.9.2006";"21.1.2021";"Wind";"2000";"2000";"99195";"Schloßvippach";"Erzeugergemeinschaft Schloßvippach GbR";"ABR959505979512";"20.12.2024"
"SEE925081454675";"ADM04";"In Betrieb";"14.9.2006";"21.1.2021";"Wind";"2000";"2000";"99195";"Schloßvippach";"Erzeugergemeinschaft Schloßvippach GbR";"ABR959505979512";"20.12.2024"
"SEE993091877050";"ADM11";"In Betrieb";"8.9.2006";"21.1.2021";"Wind";"2000";"2000";"99195";"Schloßvippach";"Erzeugergemeinschaft Schloßvippach GbR";"ABR959505979512";"20.12.2024"
"SEE941817972855";"ADM09";"In Betrieb";"18.8.2006";"21.1.2021";"Wind";"2000";"2000";"99195";"Schloßvippach";"Erzeugergemeinschaft Schloßvippach GbR";"ABR959505979512";"4.8.2025"
"SEE997567851469";"ADM10";"In Betrieb";"18.8.2006";"21.1.2021";"Wind";"2000";"2000";"99195";"Schloßvippach";"Erzeugergemeinschaft Schloßvippach GbR";"ABR959505979512";"4.8.2025"
"SEE973408387786";"ADM12";"In Betrieb";"18.9.2006";"21.1.2021";"Wind";"2000";"2000";"99195";"Schloßvippach";"Erzeugergemeinschaft Schloßvippach GbR";"ABR959505979512";"20.12.2024"
"SEE999414413370";"ADM05";"In Betrieb";"20.9.2007";"21.1.2021";"Wind";"2000";"2000";"99195";"Schloßvippach";"Erzeugergemeinschaft Schloßvippach GbR";"ABR959505979512";"20.12.2024"
"SEE998212912009";"ADM06";"In Betrieb";"21.9.2007";"21.1.2021";"Wind";"2000";"2000";"99195";"Schloßvippach";"Erzeugergemeinschaft Schloßvippach GbR";"ABR959505979512";"20.12.2024"
"SEE944219406614";"ADM07";"In Betrieb";"27.8.2007";"21.1.2021";"Wind";"2000";"2000";"99195";"Schloßvippach";"Erzeugergemeinschaft Schloßvippach GbR";"ABR959505979512";"20.12.2024"
"SEE914062879200";"ADM08";"In Betrieb";"20.9.2007";"21.1.2021";"Wind";"2000";"2000";"99195";"Schloßvippach";"Erzeugergemeinschaft Schloßvippach GbR";"ABR959505979512";"20.12.2024"
"SEE971655865743";"V67565 (WEA 11)";"In Betrieb";"19.12.2002";"20.1.2021";"Wind";"900";"900";"07774";"Frauenprießnitz";"QE Frauenprießnitz GmbH";"ABR981226237763";"5.5.2023"
"SEE919564935492";"NK-B-15-F";"Endgültig stillgelegt";"23.12.2004";"20.1.2021";"Wind";"2000";"2000";"99817";"Eisenach";"Windkraft Neukirchen III GmbH & Co. KG";"ABR922982185561";"18.8.2026"
"SEE963377989913";"NK-B-16-F";"In Betrieb";"23.12.2004";"20.1.2021";"Wind";"2000";"2000";"99817";"Eisenach";"Windkraft Neukirchen III GmbH & Co. KG";"ABR922982185561";"18.6.2026"
"SEE909391039890";"NK-B-27-F";"Endgültig stillgelegt";"23.12.2004";"20.1.2021";"Wind";"2000";"2000";"99817";"Eisenach";"Windkraft Neukirchen III GmbH & Co. KG";"ABR922982185561";"18.8.2026"
"SEE979903246467";"Windrad Mehna Rittergut Schwanditz";"In Betrieb";"11.11.1993";"19.1.2021";"Wind";"250";"250";"04626";"Mehna";"(natürliche Person)";"ABR949806780009";"7.5.2026"
"SEE933778147205";"ABR909161316220";"In Betrieb";"25.2.1999";"19.1.2021";"Wind";"1500";"1500";"99195";"Schloßvippach";"Windpark Dielsdorf GmbH & Co. KG";"ABR909161316220";"20.9.2022"
"SEE988579954354";"ABR909161316220";"In Betrieb";"24.2.1999";"19.1.2021";"Wind";"1500";"1500";"99195";"Schloßvippach";"Windpark Dielsdorf GmbH & Co. KG";"ABR909161316220";"20.9.2022"
"SEE923151773275";"WEA 14-3";"In Betrieb";"15.1.2021";"18.1.2021";"Wind";"4200";"4200";"99441";"Magdala";"meridian Windpark Bucha II GmbH & Co.KG";"ABR971899498660";"20.12.2024"
"SEE996358976626";"WEA Meuselwitz Guss";"In Betrieb";"21.4.2004";"18.1.2021";"Wind";"600";"600";"04613";"Lucka";"Giga Energy - Meuselwitz Guss Windkraftanlagen GbR";"ABR901893165046";"2.8.2021"
"SEE918104540905";"BS 19";"In Betrieb";"17.12.2020";"16.1.2021";"Wind";"4200";"4200";"99869";"Nessetal";"Windkraft Keula GmbH & Co. KG";"ABR966684469673";"5.5.2026"
"SEE926527105069";"Oettersdorf";"In Betrieb";"21.4.1998";"16.1.2021";"Wind";"600";"600";"07907";"Oettersdorf";"H+F Energie GmbH & Co KG";"ABR979676443018";"18.9.2021"
"SEE953033247563";"TG 07";"In Betrieb";"31.12.2015";"16.1.2021";"Wind";"2000";"2000";"99820";"Hörselberg-Hainich";"Windkraft Tüngeda 07 GmbH & Co. KG";"ABR954161982555";"2.3.2026"
"SEE962721851265";"Windkraftanlage Rodeberg E44/1";"In Betrieb";"8.3.2002";"15.1.2021";"Wind";"600";"600";"99976";"Rodeberg";"(natürliche Person)";"ABR923979365881";"31.8.2021"
"SEE954831742816";"kleine WEA";"In Betrieb";"8.3.2002";"15.1.2021";"Wind";"600";"600";"99976";"Rodeberg";"(natürliche Person)";"ABR914552238845";"30.8.2021"
"SEE920188336176";"Wiese hinter Haus";"In Betrieb";"29.1.2015";"15.1.2021";"Wind";"12";"12";"07955";"Auma-Weidatal";"(natürliche Person)";"ABR979050078522";"18.2.2021"
"SEE950068421807";"Windkraftanlage Rodeberg E44 /2";"In Betrieb";"8.3.2002";"15.1.2021";"Wind";"600";"600";"99976";"Rodeberg";"(natürliche Person)";"ABR923979365881";"31.8.2021"
"SEE935035998940";"Windkraftanlage Rodeberg E66";"In Betrieb";"5.10.2003";"15.1.2021";"Wind";"1800";"1800";"99976";"Rodeberg";"(natürliche Person)";"ABR923979365881";"31.8.2021"
"SEE906082431360";"Micon Diedorf";"In Betrieb";"11.10.1995";"15.1.2021";"Wind";"600";"600";"99988";"Diedorf";"(natürliche Person)";"ABR923979365881";"10.9.2021"
"SEE905426381453";"Windkraftanlage Eigenrieden E-40 L";"In Betrieb";"4.2.1998";"15.1.2021";"Wind";"500";"500";"99976";"Rodeberg";"(natürliche Person)";"ABR923979365881";"27.8.2021"
"SEE973678328847";"Windkraftanlage Eigenrieden E-40 S";"In Betrieb";"12.2.1998";"15.1.2021";"Wind";"500";"500";"99976";"Rodeberg";"(natürliche Person)";"ABR923979365881";"10.9.2021"
"SEE946855741517";"große WEA";"In Betrieb";"15.10.2003";"15.1.2021";"Wind";"1800";"1800";"99976";"Rodeberg";"(natürliche Person)";"ABR914552238845";"15.1.2021"
"SEE921078188745";"WKA1 SAHRAH (KE 16)";"In Betrieb";"10.3.1999";"13.1.2021";"Wind";"750";"750";"99718";"Greußen";"BOREAS Energie GmbH";"ABR909054335185";"15.9.2021"
"SEE961242284309";"TW600";"In Betrieb";"15.11.1995";"13.1.2021";"Wind";"600";"600";"98597";"Breitungen";"B und F GmbH & Co. KG";"ABR917186784429";"31.8.2021"
"SEE999262043880";"WKA2 MIRKY (KE 15)";"In Betrieb";"10.3.1999";"13.1.2021";"Wind";"750";"750";"99718";"Greußen";"BOREAS Energie GmbH";"ABR909054335185";"15.9.2021"
"SEE942389696514";"WKA3 CINDY (KE 14)";"In Betrieb";"10.3.1999";"13.1.2021";"Wind";"750";"750";"99718";"Greußen";"BOREAS Energie GmbH";"ABR909054335185";"15.9.2021"
"SEE941213466125";"WKA4 MARCO (KE 13)";"In Betrieb";"10.3.1999";"13.1.2021";"Wind";"750";"750";"99718";"Greußen";"BOREAS Energie GmbH";"ABR909054335185";"15.9.2021"
"SEE929849254996";"WKA5 LUKE (KE 12)";"In Betrieb";"10.3.1999";"13.1.2021";"Wind";"750";"750";"99718";"Greußen";"BOREAS Energie GmbH";"ABR909054335185";"15.9.2021"
"SEE903125274281";"WKA11 MICELE (KE 11)";"In Betrieb";"10.3.1999";"13.1.2021";"Wind";"750";"750";"99718";"Greußen";"BOREAS Energie GmbH";"ABR909054335185";"15.9.2021"
"SEE968717912903";"GV 23";"In Planung";"";"12.1.2021";"Wind";"5600";"5600";"99958";"Großvargula";"BOREAS Energie GmbH";"ABR909054335185";"22.1.2026"
"SEE983974648501";"GV 24";"In Planung";"";"12.1.2021";"Wind";"5600";"5600";"99958";"Großvargula";"BOREAS Energie GmbH";"ABR909054335185";"22.1.2026"
"SEE954824883397";"GV 25.1";"In Planung";"";"12.1.2021";"Wind";"6000";"6000";"99958";"Großvargula";"Windkraft Großvargula III GmbH & Co. KG";"ABR978717123056";"16.2.2026"
"SEE965731578726";"GV 26.2";"In Planung";"";"12.1.2021";"Wind";"6000";"6000";"99958";"Großvargula";"Windkraft Großvargula III GmbH & Co. KG";"ABR978717123056";"16.2.2026"
"SEE976876100581";"GV 27";"In Planung";"";"12.1.2021";"Wind";"5600";"5600";"99958";"Großvargula";"BOREAS Energie GmbH";"ABR909054335185";"22.1.2026"
"SEE945774631916";"GV 28";"In Planung";"";"12.1.2021";"Wind";"5600";"5600";"99958";"Großvargula";"BOREAS Energie GmbH";"ABR909054335185";"22.1.2026"
"SEE916218808621";"GV 29.2";"In Planung";"";"12.1.2021";"Wind";"3450";"3450";"99958";"Großvargula";"BOREAS Energie GmbH";"ABR909054335185";"24.4.2026"
"SEE966813685134";"GV 30.1";"In Planung";"";"12.1.2021";"Wind";"6000";"6000";"99958";"Großvargula";"Windkraft Großvargula III GmbH & Co. KG";"ABR978717123056";"16.2.2026"
"SEE964075982084";"GV 31.2";"In Planung";"";"12.1.2021";"Wind";"6000";"6000";"99958";"Großvargula";"Windkraft Großvargula III GmbH & Co. KG";"ABR978717123056";"16.2.2026"
"SEE909518104517";"GV 32";"In Planung";"";"12.1.2021";"Wind";"5600";"5600";"99958";"Großvargula";"BOREAS Energie GmbH";"ABR909054335185";"22.1.2026"
"SEE956289848010";"GV 33";"In Planung";"";"12.1.2021";"Wind";"5600";"5600";"99958";"Großvargula";"BOREAS Energie GmbH";"ABR909054335185";"22.1.2026"
"SEE947802522968";"KL 01";"In Betrieb";"27.7.2006";"11.1.2021";"Wind";"2000";"2000";"99955";"Kutzleben";"Windkraft Kutzleben III GmbH & Co. KG";"ABR935335894171";"14.10.2024"
"SEE988545869194";"KL 03";"In Betrieb";"13.7.2006";"11.1.2021";"Wind";"2000";"2000";"99955";"Kutzleben";"Windkraft Kutzleben III GmbH & Co. KG";"ABR935335894171";"14.10.2024"
"SEE996527173320";"KL 04";"In Betrieb";"8.8.2006";"11.1.2021";"Wind";"2000";"2000";"99955";"Kutzleben";"Windkraft Kutzleben III GmbH & Co. KG";"ABR935335894171";"14.10.2024"
"SEE954072312991";"KL 05";"In Betrieb";"27.7.2006";"11.1.2021";"Wind";"2000";"2000";"99955";"Kutzleben";"Windkraft Kutzleben III GmbH & Co. KG";"ABR935335894171";"14.10.2024"
"SEE988810300681";"BS12";"In Betrieb";"29.3.2012";"11.1.2021";"Wind";"3075";"3075";"99869";"Nessetal";"Windkraft Westhausen GmbH & Co. KG";"ABR964920588706";"16.1.2025"
"SEE955185604324";"BS14";"In Betrieb";"27.3.2012";"11.1.2021";"Wind";"3075";"3075";"99869";"Nessetal";"Windkraft Westhausen GmbH & Co. KG";"ABR964920588706";"16.1.2025"
"SEE933462614327";"WN07";"In Betrieb";"13.3.2012";"11.1.2021";"Wind";"3075";"3075";"99869";"Nessetal";"Windkraft Westhausen GmbH & Co. KG";"ABR964920588706";"16.1.2025"
"SEE934440332547";"WN08";"In Betrieb";"19.3.2012";"11.1.2021";"Wind";"3075";"3075";"99869";"Nessetal";"Windkraft Westhausen GmbH & Co. KG";"ABR964920588706";"16.1.2025"
"SEE959393004785";"53474";"In Betrieb";"20.12.2007";"10.1.2021";"Wind";"800";"800";"99098";"Erfurt";"Birgit und Wilhelm Weimann GbR";"ABR940870673532";"10.1.2021"
"SEE954018466771";"531507";"In Betrieb";"19.7.2013";"10.1.2021";"Wind";"800";"800";"99095";"Erfurt";"Birgit und Wilhelm Weimann GbR";"ABR940870673532";"10.1.2021"
"SEE930302138180";"Wind Hörningen I";"In Betrieb";"3.4.2001";"10.1.2021";"Wind";"1000";"1000";"99734";"Nordhausen";"Elektrizitätswerke Müller oHG";"ABR925300437960";"25.6.2024"
"SEE983885197877";"Wind Hörningen II";"In Betrieb";"3.4.2001";"10.1.2021";"Wind";"1000";"1000";"99734";"Nordhausen";"Elektrizitätswerke Müller oHG";"ABR925300437960";"25.6.2024"
"SEE942614890663";"23781";"In Betrieb";"4.10.2006";"8.1.2021";"Wind";"2000";"2000";"99869";"Eschenbergen";"WANGENHEIM-HOCHHEIM WH 18 I/S";"ABR923814729625";"20.6.2025"
"SEE948259855876";"23782";"In Betrieb";"19.9.2006";"8.1.2021";"Wind";"2000";"2000";"99869";"Eschenbergen";"WANGENHEIM-HOCHHEIM WH 17 I/S";"ABR978996991032";"18.3.2026"
"SEE939416504584";"23788";"In Betrieb";"26.4.2006";"8.1.2021";"Wind";"2000";"2000";"99869";"Eschenbergen";"WANGENHEIM-HOCHHEIM HH07";"ABR971919796066";"27.12.2024"
"SEE949703114907";"23786";"In Betrieb";"19.4.2006";"8.1.2021";"Wind";"2000";"2000";"99869";"Eschenbergen";"WANGENHEIM-HOCHHEIM WH 19 I/S";"ABR928969523548";"27.12.2024"
"SEE971225447300";"23783";"In Betrieb";"31.3.2006";"8.1.2021";"Wind";"2000";"2000";"99869";"Eschenbergen";"WANGENHEIM-HOCHHEIM HH09";"ABR902721405518";"27.12.2024"
"SEE968139314156";"Frauenprießnitz WEA 7";"In Betrieb";"19.12.2002";"8.1.2021";"Wind";"1000";"1000";"07774";"Frauenprießnitz";"NaturEnergy GmbH & Co. KGaA";"ABR989783400101";"24.11.2022"
"SEE910298363476";"V67564 (WEA 9)";"In Betrieb";"19.12.2002";"8.1.2021";"Wind";"900";"900";"07774";"Frauenprießnitz";"QE Frauenprießnitz GmbH";"ABR981226237763";"5.5.2023"
"SEE913874476706";"WEA 13-2";"In Betrieb";"29.12.2020";"7.1.2021";"Wind";"4200";"4200";"99441";"Magdala";"meridian Windpark Bucha II GmbH & Co.KG";"ABR971899498660";"20.12.2024"
"SEE920420017009";"HR02";"Endgültig stillgelegt";"21.12.2005";"7.1.2021";"Wind";"800";"800";"99817";"Eisenach";"Windkraft Neukirchen III GmbH & Co. KG";"ABR922982185561";"18.8.2026"
"SEE964816996196";"WEA 1";"In Betrieb";"23.12.2016";"6.1.2021";"Wind";"3000";"3000";"99765";"Uthleben";"Windpark Uthleben Gmbh & Co. KG";"ABR958373493168";"12.8.2022"
"SEE940603055000";"WEA 2";"In Betrieb";"4.11.2016";"6.1.2021";"Wind";"3000";"3000";"99765";"Uthleben";"Windpark Uthleben Gmbh & Co. KG";"ABR958373493168";"8.8.2024"
"SEE944929767296";"WEA Lindau";"In Betrieb";"25.11.2003";"4.1.2021";"Wind";"1500";"1500";"07613";"Heideland";"MBBF Windpark GmbH & Co. V. Betriebs KG";"ABR942125593558";"11.6.2025"
"SEE946836442112";"NK-B-28";"Endgültig stillgelegt";"29.12.2006";"3.1.2021";"Wind";"1200";"1200";"99817";"Eisenach";"(natürliche Person)";"";"17.12.2024"
"SEE976768090082";"NK-B-30 (Vensys 77 0023)";"In Betrieb";"27.3.2009";"3.1.2021";"Wind";"1500";"1500";"99817";"Eisenach";"Windkraft Neukirchen III GmbH & Co. KG";"ABR922982185561";"18.6.2026"
